student_id,course_id,attendance_rate,avg_session_duration_pct,consecutive_absences,assignment_submission_rate,avg_assignment_score,late_submission_count,exam_score_avg,exam_improvement_trend,at_risk,pass_fail,predicted_grade
s_1000,c_1,0.738,0.54,2,0.832,71.19,2,71.17,0.0376,0,1,B
s_1001,c_1,0.653,0.604,2,0.403,46.39,4,16.62,-0.0996,1,0,F
s_1002,c_3,0.701,0.682,1,0.816,72.92,0,76.92,-0.15,0,1,B
s_1003,c_1,0.634,1.0,2,0.497,77.98,1,76.67,0.0291,0,0,B
s_1004,c_3,0.91,1.0,0,0.917,87.97,0,74.06,0.0207,0,1,A
s_1005,c_5,0.864,0.993,0,0.985,82.51,2,73.99,0.1527,0,1,B
s_1006,c_3,0.77,0.856,1,0.97,92.91,0,75.79,0.0358,0,1,A
s_1007,c_2,0.425,0.326,5,0.443,53.1,5,57.17,0.0335,1,0,D
s_1008,c_3,0.707,0.64,0,0.802,76.94,0,89.52,0.0382,0,1,A
s_1009,c_5,0.862,0.632,1,0.784,61.23,0,64.23,-0.0809,0,1,C
s_1010,c_3,0.857,0.849,1,0.963,88.67,0,76.41,0.0401,0,1,A
s_1011,c_5,0.445,0.7,2,0.554,32.27,2,41.79,0.0032,1,0,F
s_1012,c_3,0.735,0.804,1,0.86,66.33,2,74.12,0.0138,0,1,B
s_1013,c_2,0.928,0.937,1,0.994,89.35,0,72.16,0.104,0,1,A
s_1014,c_5,0.973,0.872,0,0.897,85.11,1,70.7,0.1231,0,1,A
s_1015,c_2,0.913,0.884,0,0.975,69.2,0,75.23,0.091,0,1,B
s_1016,c_1,0.839,0.672,0,0.806,57.96,2,67.71,-0.0275,0,1,C
s_1017,c_1,0.795,0.817,1,0.691,84.11,2,43.24,0.093,0,0,C
s_1018,c_5,0.707,0.456,2,0.694,83.81,0,48.47,-0.0007,1,0,C
s_1019,c_4,0.803,0.641,2,0.702,61.45,3,66.74,0.0246,0,1,C
s_1020,c_3,0.567,0.617,3,0.84,62.93,0,48.23,0.0966,1,0,D
s_1021,c_1,0.924,0.917,1,0.958,84.86,0,79.77,0.1155,0,1,A
s_1022,c_5,0.577,0.773,1,0.693,60.36,2,71.8,-0.0931,0,1,C
s_1023,c_1,0.708,0.559,1,0.783,64.28,2,75.37,0.0545,0,1,B
s_1024,c_4,0.718,0.631,0,0.75,53.42,2,67.77,0.1169,1,0,C
s_1025,c_2,0.726,0.606,2,0.611,53.93,4,68.95,-0.0487,1,1,C
s_1026,c_3,0.998,0.954,0,1.0,82.86,1,86.06,0.1118,0,1,A
s_1027,c_4,0.932,0.675,1,0.885,69.64,1,80.54,-0.0176,0,1,B
s_1028,c_1,0.617,0.636,2,0.748,86.42,1,51.73,0.0552,0,1,C
s_1029,c_2,0.841,0.879,0,0.905,68.7,0,74.97,0.0976,0,1,B
s_1030,c_2,0.672,0.889,0,0.594,85.02,2,73.87,0.0077,0,1,B
s_1031,c_2,0.811,0.756,0,0.901,84.98,1,92.91,0.003,0,1,A
s_1032,c_1,0.923,0.857,0,0.963,77.04,0,57.89,0.0918,0,1,B
s_1033,c_2,0.506,0.437,3,0.256,58.93,5,21.77,-0.0991,1,0,F
s_1034,c_3,0.7,0.362,2,0.75,29.88,7,32.35,-0.1713,1,0,F
s_1035,c_2,0.805,0.847,1,0.788,69.3,1,58.66,0.0328,0,1,C
s_1036,c_1,0.596,0.776,0,0.922,72.72,1,83.69,-0.0028,1,0,B
s_1037,c_2,0.964,0.908,0,0.804,100.0,0,87.97,0.028,0,1,A
s_1038,c_2,0.78,0.603,0,0.831,52.81,4,60.87,0.0084,0,1,C
s_1039,c_5,0.74,0.826,0,0.77,69.49,2,69.03,-0.0586,0,1,B
s_1040,c_2,0.77,0.955,0,0.833,87.45,1,75.64,0.0546,0,1,A
s_1041,c_1,0.552,0.588,1,0.81,72.01,2,76.19,-0.0057,0,1,B
s_1042,c_2,0.978,0.763,0,0.809,88.57,0,87.57,0.1923,0,1,A
s_1043,c_3,0.272,0.497,4,0.45,64.45,4,20.8,-0.068,1,0,F
s_1044,c_5,0.788,0.769,2,0.826,67.81,0,59.92,0.0432,0,1,C
s_1045,c_5,0.766,0.982,1,0.756,72.7,1,64.8,-0.0188,0,1,B
s_1046,c_2,0.622,0.673,0,0.653,70.51,1,55.38,0.0292,0,1,C
s_1047,c_2,0.706,0.796,0,0.704,76.52,1,64.72,0.145,0,1,B
